Date,Close,Open,High,Low,Volume,MM_200,RSI_14
2025-07-29,117922.1484375,117938.5859375,119273.8671875,116987.3671875,68463107433,98816.374,57.7928
2025-07-28,117924.4765625,119457.5234375,119819.7890625,117441.4375,64822943193,98700.213,58.335
2025-07-27,119448.4921875,117944.7265625,119815.59375,117859.6875,54683390892,98572.5972,64.0043
2025-07-26,117947.3671875,117644.84375,118335.6875,117181.2265625,48508954046,98450.4528,60.1476
2025-07-25,117635.8828125,118368.0,118486.9765625,114759.8203125,104857024569,98345.3145,60.5908
2025-07-24,118368.0,118770.984375,119535.453125,117247.96875,72627318560,98268.5452,62.2386
2025-07-23,118754.9609375,119997.4453125,120113.3515625,117391.390625,66608604537,98168.2867,63.8659
2025-07-22,119995.4140625,117426.5,120269.96875,116233.2265625,79217583118,98065.2837,68.7774
2025-07-21,117439.5390625,117306.46875,119671.5625,116584.3984375,69820091744,97955.8342,63.157
2025-07-20,117300.7890625,117944.109375,118865.03125,116550.1328125,57515447231,97853.2062,62.8797
2025-07-19,117939.9765625,117998.125,118541.3984375,117388.4140625,47564562765,97738.5606,65.2421
2025-07-18,118003.2265625,119284.109375,120851.9140625,116925.984375,77945799785,97615.7609,65.6567
2025-07-17,119289.84375,118738.5078125,120999.609375,117508.21875,72363841798,97488.7492,70.431
2025-07-16,118738.5078125,117777.1875,120065.515625,117064.8203125,72162029070,97360.1975,69.4547
2025-07-15,117777.1875,119853.8515625,119935.5625,115765.6875,98321661181,97242.4432,67.9613
2025-07-14,119849.703125,119115.7890625,123091.609375,118959.1953125,181746419401,97124.3944,75.9361
2025-07-13,119116.1171875,117432.203125,119449.5703125,117265.4375,49021091807,97003.4233,74.9764
2025-07-12,117435.2265625,117530.7109375,118219.8984375,116977.0234375,45524560304,96904.5007,72.6878
2025-07-11,117516.9921875,115986.234375,118856.4765625,115245.6875,86928361085,96810.1098,73.0978
2025-07-10,115987.203125,111329.1953125,116608.78125,110660.75,95911605728,96696.0218,70.9425
2025-07-09,111326.5546875,108950.2734375,111925.375,108357.6796875,57927418065,96591.304,62.372
2025-07-08,108950.2734375,108298.2265625,109198.96875,107499.5546875,44282204127,96521.0402,56.5451
2025-07-07,108299.8515625,109235.328125,109710.25,107527.0546875,45415696597,96465.075,54.6131
2025-07-06,109232.0703125,108231.1875,109731.625,107847.015625,36746020463,96410.5868,57.9067
2025-07-05,108231.1796875,108015.8359375,108381.34375,107842.2734375,30615537520,96365.2506,55.3448
2025-07-04,108034.3359375,109635.65625,109751.984375,107296.3828125,42616442656,96354.7023,54.771
2025-07-03,109647.9765625,108845.015625,110541.4609375,108605.796875,50494742270,96345.0583,60.0273
2025-07-02,108859.3203125,105703.1015625,109763.65625,105157.3984375,56248657737,96319.153,58.308
